,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
10,（有）社名渕みどり牧場,石丸　博雄,北海道紋別郡遠軽町社名渕,https://www.shanafuchi-farm.com/,28，000万円,12人,酪農（総頭数400頭、搾乳牛250頭）及び畑作（小麦・てん菜）,地域･環境と調和した持続可能な農業を目指す,糞尿の有効活用（全量圃場へ還元、バイオガス発電）、農薬等はできるだけ低投入,酪農、畑作,酪農、畑作,（有）社名渕みどり牧場,,通年可能：搾乳・哺乳・エサ給与と牛の管理,1週間〜,可,可,その他　役員宅,経営者等家族と一緒,有,JR北海道石北線遠軽駅より車で10分、女満別空港より約1時間20分,,農作業に適した服装、長靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,地域との結びつきが学べます
11,新篠津つちから農場（株）,中村　好伸,北海道石狩郡新篠津村,https://www.tsuchikara.jp/,"26,000万円",5人,有機及び特別栽培玉葱生産販売,栽培方法・ブランティングによる差別化販売、海外展開,堆肥・ボカシ肥による土づくり,玉葱、とうもろこし,玉葱、とうもろこし,,中村　好伸,通年可能：玉葱の栽培管理、選果、出荷、販売,2日日〜,可,可,その他　その他,自炊（食費補助）,有,JR石狩当別駅,必要,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,意欲的な方、素直な方
12,ソーシャル・エージェンシー(株),榊　清市,北海道函館市富岡町,,300万円,6人,有機農産物の栽培,有機農産物を海外へ輸出に取り組む,食の安全・安心と地球環境,ビニールハウス及び露地栽培,ビニールハウス及び露地栽培,（会社）函館市富岡町、(畑)北斗市細入、車で20分,榊　清市,6月～10月：6～10月＝栽培、収穫、9月～10月,2日日〜,,可,社宅・寮等,自炊（食費補助）,有,送り迎えいたします,必要,,従業員の確保,農業体験、就職先検討,大切な子や可愛い孫のために農業、化学肥料に頼らない、安全な農産物に取り組む人
13,田中牧場,田中　裕之,北海道日高郡新ひだか町静内浦和,,"9,000万",6人,サラブレット生産　販売、購入、牧草生産、農業機械販売,歴史に残るサラブレットを造ること。,生産牧草は堆肥無農薬,サラブレット親、仔、1才馬、牧草収穫,サラブレット親、仔、1才馬、牧草収穫,,田中　裕之,通年可能：馬のていれ、曳き運動、厩舎清掃、牧草収穫作業　　農繁期：3月～9月,3日日〜,可,不可,社宅・寮等,自炊（食費補助）,有,JR静内駅,,,従業員の確保,就職先検討,チャレンジ精神のある人
14,（有）月浦ワイナリー,岸本　雅直,北海道虻田郡洞爺湖町洞爺湖温泉,http://www.tsukiurawine.jp,"3,800万円",3人,醸造用ぶどうを主とした果樹栽培,良いワインは良い葡萄から。この土地でしかできない最良の葡萄作りを追求。,,醸造用ぶどう、時期によりりんご,醸造用ぶどう、時期によりりんご,北海道虻田郡洞爺湖町　月浦の農園,岸本　絢恵,8月～11月／8～11月＝果実の選別、除薬、収穫前の準備または作業等、10月～11月＝収穫作業等。農繁期：9月～11月,2日日〜,不可,不可,その他　旅館,その他　宿にて三食,有,JR室蘭本線　洞爺駅,必要,農作業に適した服装、長靴、手袋,従業員の確保,農業体験、就職先検討,ブドウなどの果樹栽培に興味を持っていて、積極的・意欲的に取り組む姿勢のある方
15,（株）箱根牧場,勝俣　克廣,北海道千歳市東丘,,"39,400万円",20人,有機栽培でじゃがいも、かぼちゃの栽培、自社飼料で乳牛の肥育、それらを販売する場所としてレストランや加工品の製造販売,食の安全安心を実現するために土づくりから行っています。環境循環型農業として生産、製造、販売の循環を拡げていきたいと思っています。,現在、国における最高の安全基準であるが、評価がされていない,酪農、じゃがいも、南瓜,酪農、じゃがいも、南瓜,,,通年可能：酪農、7月～9月：じゃがいも、かぼちゃ、大豆,4日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,JR石勝線　追分駅,必要,農作業に適した服装、長靴,従業員の確保,就職先検討,やる気があって単純な仕事や汚い作業でもすすんでやりぬく人
16,（有）ファームキトラ,記虎　悟,北海道夕張郡長沼町,http://www.farm-kitora.com/,"8,000万円",5人,水稲、畑作,農業の未来を考え進む,取組中,全作物,全作物,,記虎　悟,4～10月：作物（水稲、玉葱、苺、野菜）の管理、収穫等,3日日〜,可,可,社宅・寮等,その他　自炊（食費補助）、一部提供,有,JR北広島駅からバス,必要,長靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,活動的である
17,（有）ファームトピア,走出　邦章,北海道磯谷郡蘭越町字三笠,http://farmtopia.jp/,"16,000万円",25人,馬鈴薯、大豆、小豆、ソバ、スイートコーン、アスパラガス、ソバ製粉、販売,美味しいものを消費者へ,,アスパラ、馬鈴薯、スイートコーン、そば収穫、そば製粉,アスパラ、馬鈴薯、スイートコーン、そば収穫、そば製粉,,走出　邦章,4～9月／4月～6月：アスパラ収穫、8月：スイートコーン収穫、8月～9月：馬鈴薯収穫,5日日〜,可,可,社宅・寮等,その他　自炊（食材提供）（食費補助）,有,目名駅,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,知識欲のある人
18,ファームTORAO（株）,海野　義幸,北海道千歳市泉郷,http://torao.co.jp,"20,000万円",38人,菌床椎茸、キクラゲ、ササゲ、ズッキーニ、カボチャ、クレソン、のらぼう菜、他多品目栽培,農業の通年化、産業としての農業の確立,菌茸は農業や化学薬品を使用しないのが基本です。,椎茸、キクラゲ、季節の野菜,椎茸、キクラゲ、季節の野菜,,海野義幸,通年可能：椎茸、キクラゲ、季節の野菜、農繁期：５月～１２月,2日日〜,可,可,経営者宅に間借り,その他　経営者等家族と一緒、自炊（食材提供）,有,新千歳空港、千歳駅、駅までは送迎あり,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,一生懸命な人
19,合同会社ファーム和楽,山岸　也須彦,北海道枝幸郡枝幸町山臼,http://esashi-milk.net/,"14,400万円",8人,酪農(生乳),食料を生産するという心構えと誇り、今年度よりロボット搾乳機導入,良質粗飼料の確保、堆肥の有効活用,搾乳、哺乳、希望があれば作業機械の運転も,搾乳、哺乳、希望があれば作業機械の運転も,,山岸、奥出,通年可能：搾乳、哺育、掃除等,5日日〜,可,可,その他　元代表の住宅兼事務所,その他　元代表宅にて家族と一緒、自炊（食費補助）,有,都市間バスを使用して、枝幸ターミナルまたは紋別空港(送迎あり),,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,食に関心があればどなたでも
20,(有)ファム・エイ,廣木　聖隆,北海道標津郡中標津町北中,https://www.farmaid.jp/,"22,000万円",54人,酪農ヘルパー事業・生乳検査事業,酪農家の休日確保の為、酪農ヘルパーとして酪農家の仕事を代行する。仕事を通じ酪農技術を習得した社員が就農を目指す。担い手の育成により地域酪農の発展に資する。,,酪農,酪農,本社周辺酪農家,釼持康一,通年可能（体験内容：酪農ヘルパーに随行し複数の酪農家の仕事を体験する）,2日日〜,可,可,その他　その他：町内のホテル、下宿等(送迎有),その他　ホテル、下宿等から提供の食事,有,本社まで根室中標津空港から車で5分(送迎有),,農作業に適した服装（作業服長靴は貸与）,従業員の確保,農業体験、就職先検討,酪農を志す意欲ある者
21,（有）藤沢牧場,藤沢　澄雄,北海道日高郡新ひだか町東静内,http://www.evergreen.st,"10,000万円",8人,軽種馬生産,誰からも愛される馬づくり,,馬,馬,新ひだか町静内真歌19の10,藤沢　亮輔,通年可能：牧場作業全般、馬房掃除等、馬の世話,1週間〜,可,不可,社宅・寮等 　社宅・寮等、経営者宅に間借り,その他　経営者等家族と一緒、自炊（食費補助）,無,静内駅　車,,農作業に適した服装、長靴、手袋,従業員の確保,農業体験、就職先検討,動物が好きな人
22,（有）森谷ファーム,森谷　健吉,北海道北見市留辺蘂町昭栄,http://farm-moriya.com/,"9,000万円",8人,玉葱21ha、ビート、小麦、高級菜豆,持続可能な農業を目指す、G-gap取得、WAP100、農福連携への取り組み,特別栽培に取り組んでいます,玉葱、ビート、高級菜豆(白花豆、紫花豆、大福豆),玉葱、ビート、高級菜豆(白花豆、紫花豆、大福豆),,森谷　裕美,4月中旬～10月末まで可／4月中旬～6月：玉ねぎ、ビート、高級菜豆　まきつけ作業、8～10月：収穫、農繁期：4～5月、9～10月,2日日〜,可,可,社宅・寮等 　社宅・寮等(研修生受け入れプレハブ),その他　朝夕は自炊（食材提供・食費補助）、昼はみんな一緒,有,留辺蘂（るべしべ）駅,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,明るい方、協調性
23,（株）八百一の郷（北海道農場）,田中　勝三,京都府船井郡京丹波町豊田本野,http://www.kyoto-yaoichi.co.jp,"21,300万円",22人,露地野菜、ハウス野菜の栽培,日本の農業のモデルになる農場を目指しています。具体的には、「安心安全」と「おいしさ」の追求です。,JGAP認証農場,じゃがいも、南瓜、人参、コーン、アスパラ他,じゃがいも、南瓜、人参、コーン、アスパラ他,,弘　敏二（ひろ　としじ）,7月～10月：トウモロコシ、人参、南瓜、じゃがいもの栽培管理、収穫、出荷作業,4日日〜,不可,不可,社宅・寮等,自炊（食費補助）,有,JR倶知安駅まで迎えに行きます。,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,高い志のある方
24,TASUKI有限責任事業組合,山内　一成,北海道帯広市西3条南,https://nougyou-intern.com/,700万円,4人,じゃがいも、長芋、大根、ビート、レタス、たまねぎ、長ネギ、絹さやエンドウなど,「タスキをつなぐ」都市圏と農業地域のタスキをつなぐ　次世代にタスキをつなぐ,安全安心や持続可能な農業を追求していくことが重要で、有機農業はその一つのアプローチとして重要。どこまで取り組むかは提携各農家により異なりますが、減農薬などに取り組んでいる農家は多いです。,じゃがいも、長芋、大根、たまねぎ、ビート、レタス、長ネギ、絹さやエンドウなど,じゃがいも、長芋、大根、たまねぎ、ビート、レタス、長ネギ、絹さやエンドウなど,十勝帯広管内の提携農家,山内一成、藤崎　麻里亜,4～9月・11月・3月：4～6月＝GW前後にビートの定植など、7～9月＝じゃがいも、大根、たまねぎ、ビート、レタス、長ネギ、絹さやエンドウなどの収穫、11月＝長芋の収穫、3月＝ビートの育苗ポットづくりや長芋の消毒など,4日〜,可,可,その他　提携農協・行政の宿泊施設に宿泊（朝夕の送迎は提携農家にて行います）,その他　インターン生同士で協力して自炊 （食材提供）,有,十勝帯広管内の提携農協・行政の宿泊施設に宿泊し、朝夕の送迎は提携農家にて行います。,なくても可,農作業に適した服装、雨具、手袋、水筒,その他　農業体験者の増加、従業員の確保、農業を通じた個々の自分発掘支援＆農業や地域の理解関心者を増やしたい,その他　食（生きること）や職（働くこと）に真剣に向き合う姿勢があるかどうか,就業テーマは「大自然の中での農作業と多様な仲間との対話により、社会で働く上での自分軸を見出すこと」 日中は農作業アシスタント、夕方からは全国から集まる参加者同士の共同生活およびワークショップを行います。 また受入農業者は平均35ha以上の大規模農業で、先進的な農業機械を活用して農家というよりは農業ビジネスを行う中小企業に近いイメージです。農協や農業関連企業等との対話交流の機会も有りますので、北海道十勝ならではの「農業×○○」ビジネスを実践で学べる機会になります。
25,株式会社イナゾーファーム,谷　寿彰,北海道士別市多寄町38線西,https://www.inazofarm.jp,4，200万円,15人,有機フルーツミディトマト、もち米、南瓜、大豆、小豆、有機トマトジュース（加工品）,次世代が農業や農村で挑戦し続けられるベースの構築・とびきりの美味しさを目指す,農場内・地域内・地域間で資源（肥料やエネルギー等）を循環させるよう配慮しています。土壌物理性を改善し、植物生理を理解し、チームの力で推進力を高めることで、持続可能な農業経営を目指します。,有機フルーツミディトマト、もち米、南瓜、大豆、小豆、有機トマトジュース（加工品）,有機フルーツミディトマト、もち米、南瓜、大豆、小豆、有機トマトジュース（加工品）,,谷　江美,通年可能／4～6月：トマトの育苗・植付・管理作業・田植え準備、7～9月：トマトの収穫、10～12月：トマトの片付・加工品製造、1～3月：加工品製造,2日〜,可,可,経営者宅に間借り,その他　代表者と一緒または自炊（食材提供）,有,JR士別駅、士別大通6丁目（高速バス：北海道中央バス）＜送迎あり＞,なくても可,農作業に適した服装・長靴・雨具・手袋・水筒,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,受入担当者は東京から移住し未経験の農業に挑戦しています。都市在住者や未経験の方にこそ、是非農業の現場を知っていただきたいです。
26,高橋　保光,高橋　保光,北海道中川郡美深町字小車,,2500万円,4人,野菜,地域農業の持続を目指し、新規就農希望者の受入れを進めます,特に無し,野菜,野菜,所在地と同じ,高橋保光,4～9月：野菜の定植、管理作業,2日日〜,不可,不可,,自炊（食費補助）,無,ＪＲ宗谷線美深駅,必要,農作業に適した服装、長靴、雨具、手袋,,農業体験,新規就農したい方を待ってます
27,農地所有適格法人（有）ワタミファーム(瀬棚農場),西岡　亨祐,北海道久遠郡せたな町,http://www.watamifarm.co.jp,外部公表していないため非開示,外部公表していないため非公表,養鶏、酪農、乳製品加工、販売,未来の食の安全と安心、環境を守るため、生命を循環させ、有機農業を発展させていくこと,生きている土から、生きている作物や動物から自然の恵みをいただき、それを食べることで我々も生かされている、それが生命を守る事業、生命を循環させる事業である有機農業と考えます。 私達の仕事として一番大切なのは土づくり、作物・牧草づくり・家畜の環境づくりと考えます,酪農・養鶏,酪農・養鶏,瀬棚（北海道）,上井（瀬棚）,通年可能：酪農・養鶏,2日日〜,不可,可,その他　研修センターで社員と共同生活(施錠なし)で問題なければ宿泊可。近くに民宿有(宿泊費自己負担),自炊（食材提供）,有,JR北海道長万部駅→函館バス・瀬棚市街バス停／事前相談あれば送迎可,必要,農作業に適した服装（着替え、手袋、長靴、帽子、水筒）,従業員の確保,就職先検討,自ら課題設定し、課題解決のために動く方
28,メロン農家(株)（寺坂農園の農業生産部門）,寺坂　祐一,北海道空知郡中富良野町東,https://furano-melon.jp/,"50,000万円",20人,メロンの生産と直販。通信販売。ミニトマト狩り観光農園,北海道・富良野でおいしい野菜とメロンを育て全国にお届けし、お客様に「おいしいっ」と喜んで頂く農業を続けていきます。,-,メロン・アスパラガス・ミニトマトの栽培等(全てハウス)／直売所の販売員・通販の受付業務,メロン・アスパラガス・ミニトマトの栽培等(全てハウス)／直売所の販売員・通販の受付業務,,寺坂　祐一、寺坂　恵理,4～9月／4～6月：メロン・アスパラガス栽培に関わる研修。アスパラガスの選別箱詰め発送業務。7～9月：メロン栽培に関わる研修。ミニトマトの栽培・選別箱詰め発送業務。直売所の運営。,2日日〜,可,可,社宅・寮等,自炊（食材提供）,有,ＪＲ富良野線富良野駅　徒歩20分,なくても可,農作業に適した服装、帽子（暑さ対策）,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,実践で学びたい！という人、何でもすべて教えます。
29,（株）木村牧場,木村　洋文,青森県つがる市木造丸山字竹鼻,http://www.kimurafarm.jp,"120,000万円",35人,養豚業,理念：農業を通じて食の循環を作り、笑顔も作る会社とする,,豚の飼育,豚の飼育,,笹森　功彦,通年可能、6～7月（養豚飼養管理）,2日日〜,可,不可,その他　宿泊代負担,その他　食費代負担,有,JR木造駅,,,農業体験・理解者の増加,農業体験、就職先検討,素直な人
30,（有）白神アグリサービス,木村　農也,青森県西津軽郡鯵ヶ沢町大字建石町字大曲,http://www.kazemaru-nojo.com/,8000万円,10人,水稲、大豆、小麦、枝豆、トマト、りんご、玉ねぎ、かぼちゃ,地域に役立つ会社,一部作物に対して実践しています。,水稲、大豆、りんご、枝豆、トマト、さくらんぼ、ブルーベリー,水稲、大豆、りんご、枝豆、トマト、さくらんぼ、ブルーベリー,,水家宜浩,通年可能：時期に対応した作物の栽培管理、収穫等,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,陸奥森田駅より車で10分,なくても可,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,10年後を考えられる人
31,（有）せいの農園,清野　俊博,青森県弘前市下湯口字扇田,http://www.pureapple-seino.jp/,"7,000万円",11人,りんご、プルーンの生産、販売,家族とスタッフが一緒になってがんばっています,特になし,りんご,りんご,弊社農場,清野耕司,5～7月：りんごの摘果作業、9～12月：りんごの収穫、選果作業　繁忙期：10～11月,2日日〜,不可,可,社宅・寮等 　社宅、近所の宿泊施設を利用,経営者等家族と一緒,無,JR弘前駅から車で20分,,農作業に適した服装,従業員の確保,農業体験,やる気のある若者
32,（株）豊川農産,豊川　民男,青森県青森市諏訪沢字野田,,"5,000万円",5人,コメ専業,世の中に対する恩返しです。,特に手法はありません。,コメ,コメ,自宅周辺（近隣）,豊川　民男,4～11月：農業全般（特にコメ）,2日日〜,可,可,その他　研修生専用の部屋有,経営者等家族と一緒,有,JR矢田前駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,特にありません。来ればわかります。
33,（株）松山ハーブ農園,松山　法明,青森県青森市合子沢松森,http://www.blackgarlic.jp/,"12,000万円",27人,にんにく、ハーブ、トマト他野菜,生産・加工・販売・農家レストラン,循環農法を取り入れている,にんにく、ハーブ、トマト等,にんにく、ハーブ、トマト等,,松山、小笠原、岩渕,通年可能：にんにく・ハーブ・トマト等の植付・手入・収穫、農繁期5月～10月,2日日〜,可,可,社宅・寮等,その他　農家レストランにて食事を提供,有,青森駅または新青森駅,,,その他　農業体験・理解者の増加、従業員・体験生の確保、生産・加工・販売・農家レストラン・農家民宿・海外輸出・グローバルGAPの取得などの取組み,農業体験、就職先検討,素直で元気で明るい人
34,（有）ゆめりんご,平井　秀樹,青森県弘前市下湯口下湯口字村元,http://yumeringo.net/,"7,000万円",15人,りんごを中心とした果樹栽培、観光農園、その他,人に優しく、環境にやさしい農業に取組み、同時に自然の恵みの豊かさを感じてもらうために6次産業化に取組んでいる。,可能な限り積極的に取り組んでいます,りんご、その他の一般果樹、加工品製造、その他,りんご、その他の一般果樹、加工品製造、その他,,平井秀樹,通年可能：農産物及び加工品の出荷発送等、4月～11月：りんごを中心とした果樹及び露地野菜の栽培管理、6月～10月：観光農園に関わる各種業務、農繁期：5月～11月,2日日〜,不可,可,経営者宅に間借り,その他　経営者家族と一緒,無,JR弘前駅より車で約20分,必要,農作業に適した服装、雨合羽、長靴,従業員の確保,就職先検討,農業に対して熱意と積極性のある方を求めます。
35,（株）アンドファーム,三浦　正美,岩手県岩手郡岩手町久保5-30-3,http://ikiiki-noujou.com,35000万円,20人,キャベツ・ニンニク・人参・白菜・ナガイモ・レタス・大根,日本一働きやすい農場を目指す,,時期に応じて,時期に応じて,,三浦　大樹,通年可能,2日日〜,可,可,経営者宅に間借り,その他　経営者等家族と一緒・自炊（食材提供）,有,いわて沼宮内駅,必要,,従業員の確保,就職先検討,
36,イオンアグリ創造（株）岩手花巻農場,福永　庸明,岩手県花巻市横志田,http://www.aeon.jp/agricreate/,非公表,約550人,ブロッコリ・ミニトマト・ほうれん草・小松菜・ハクサイ,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,定植：ハクサイ、収穫：ミニトマト・ブロッコリ・小松菜・ほうれん草・ハクサイ,定植：ハクサイ、収穫：ミニトマト・ブロッコリ・小松菜・ほうれん草・ハクサイ,,池嶋　杜行,4～10月,5日日〜,不可,可,通いのみ受け入れ、ホテル・ウイークリーマンション(長期時),その他　1日1000円の食費補助,無,JR「花巻駅」→岩手県交通栃内線バス「横志田」（26分）下車→徒歩1分,必要,長靴、雨合羽等の雨具、帽子、タオル、水筒,従業員の確保,就職先検討,大規模農業に関心がある方、チームで仕事ができる方
37,（有）一関ミート,石川　聖浩,岩手県一関市萩荘字要害,http://ichimeat.com/,"12,000万円",15人,養豚、食肉加工、水稲,本当の美味しさにこだわり続けています。,農場での堆肥を水稲で利用しています。,養豚、食肉加工、水稲,養豚、食肉加工、水稲,,石川貴浩,通年可能：養豚の飼育管理、食肉加工、ハムソーセージ製造、5～10がつ：水稲の肥培管理,2日日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,有,JR一関駅,必要,作業服貸与,農業体験・理解者の増加,農業体験、就職先検討,常に好奇心を持って取り組んでください。
